num_acc;catv;obs;obsm;choc;manv;num_veh
2011000351;1;0;0;4;2;B02
2011000352;7;0;1;1;1;A01
2011000353;7;6;0;8;1;A01
2011000354;7;0;2;3;13;A01
2011000354;7;0;2;3;1;B02
2011000354;7;0;2;8;1;C03
2011000355;7;16;0;1;1;A01
2011000356;7;0;0;0;1;A01
2011000357;7;0;2;2;1;A01
2011000357;33;0;2;8;1;B02
2011000358;7;5;0;2;0;A01
2011000359;1;0;2;4;2;A01
2011000359;7;0;2;1;1;B02
2011000360;7;2;0;8;1;A01
2011000361;7;2;0;1;0;A01
2011000362;7;0;2;5;19;A01
2011000362;7;0;2;1;1;B02
2011000363;7;0;2;8;19;A01
2011000363;7;0;2;1;1;B02
2011000364;7;0;2;3;1;A01
2011000364;7;0;0;3;1;B02
2011000365;7;13;0;1;1;A01
2011000366;7;0;2;1;1;A01
2011000366;7;0;2;1;1;B02
2011000367;7;6;0;1;16;A01
2011000368;7;0;2;1;19;B02
2011000368;7;0;2;8;1;A01
2011000369;7;2;0;1;13;A01
2011000370;7;2;0;2;14;A01
2011000371;7;0;1;3;2;A01
2011000372;7;0;0;5;1;A01
2011000372;1;0;2;1;1;B02
2011000373;7;2;0;1;13;A01
2011000374;7;13;0;2;1;A01
2011000375;36;13;0;9;1;A01
2011000376;2;0;2;7;19;B02
2011000376;7;0;0;2;1;A01
2011000377;7;0;1;7;1;A01
2011000378;7;2;0;8;0;A01
2011000379;7;0;2;1;1;A01
2011000379;7;0;2;8;9;B02
2011000380;33;0;2;1;2;C03
2011000380;7;0;2;6;23;B02
2011000380;33;14;0;1;2;A01
2011000381;7;0;2;1;1;A01
2011000381;14;0;0;4;0;B02
2011000382;7;0;2;2;19;A01
2011000382;7;0;2;3;1;B02
2011000383;7;0;1;2;1;A01
2011000384;31;0;2;2;3;B02
2011000384;7;0;2;3;19;A01
2011000385;7;0;0;9;17;A01
2011000386;7;2;0;1;14;A01
2011000387;1;0;2;0;13;B02
2011000387;7;0;2;1;1;A01
2011000388;7;0;2;2;16;A01
2011000388;33;0;2;1;1;B02
2011000389;7;0;2;7;19;A01
2011000389;10;0;2;1;1;B02
2011000390;7;0;2;3;19;A01
2011000390;2;0;2;1;1;B02
2011000391;14;0;2;5;15;A01
2011000391;7;0;2;3;1;B02
2011000392;33;0;2;1;1;B02
2011000392;7;0;0;8;10;A01
2011000393;7;0;2;1;1;B02
2011000393;7;0;2;7;13;A01
2011000394;30;0;2;3;23;B02
2011000394;7;0;2;0;13;A01
2011000395;7;0;0;4;23;B02
2011000395;7;0;2;1;1;A01
2011000396;7;0;2;2;17;A01
2011000396;7;0;2;2;2;B02
2011000397;7;0;2;2;0;A01
2011000397;1;0;2;1;0;B02
2011000398;7;0;1;3;1;A01
2011000399;7;0;2;1;13;A01
2011000399;7;0;2;1;1;B02
2011000400;7;0;2;4;1;B02
2011000400;31;0;2;1;2;A01
2011000401;10;0;2;8;20;A01
2011000401;2;0;2;2;1;B02
2011000402;7;2;0;3;1;A01
2011000403;7;0;2;3;13;A01
2011000403;7;0;2;1;1;B02
2011000404;7;0;0;1;1;A01
2011000405;7;8;0;1;1;A01
2011000406;7;0;2;1;16;A01
2011000406;33;0;2;7;1;B02
2011000407;7;0;0;5;1;A01
2011000408;10;8;0;8;1;A01
2011000409;33;0;2;7;17;A01
2011000409;33;0;2;8;2;B02
2011000410;30;14;0;1;1;A01
2011000411;7;0;0;4;15;A01
2011000411;30;0;2;1;13;B02
2011000412;7;0;2;2;19;A01
2011000412;7;0;2;1;1;B02
2011000413;7;0;2;3;1;B02
2011000413;7;0;2;1;19;A01
2011000414;7;2;0;7;1;A01
2011000415;7;2;0;8;13;A01
2011000416;7;15;0;1;1;A01
2011000417;30;8;0;1;1;A01
2011000418;7;0;2;6;23;B02
2011000418;30;0;2;3;14;A01
2011000419;31;0;2;1;1;B02
2011000419;10;0;2;7;10;A01
2011000420;7;0;2;1;1;B02
2011000420;7;0;2;7;11;A01
2011000421;33;13;0;1;1;A01
2011000422;33;0;6;1;1;A01
2011000423;7;0;2;1;17;A01
2011000423;7;2;0;1;21;C03
2011000423;7;0;2;1;1;B02
2011000423;7;0;2;8;21;D04
2011000424;1;0;2;1;1;B02
2011000424;7;0;2;2;15;A01
2011000425;7;0;0;7;1;A01
2011000426;7;0;2;3;2;A01
2011000426;10;0;2;2;15;B02
2011000427;7;0;2;1;1;A01
2011000427;10;0;2;7;1;B02
2011000428;7;0;0;9;1;A01
2011000429;7;0;2;2;15;A01
2011000429;10;0;2;7;1;B02
2011000430;7;0;2;2;10;B02
2011000430;33;0;2;1;1;A01
2011000431;7;0;1;0;1;A01
2011000432;1;0;2;1;1;A01
2011000432;7;0;9;8;1;B02
2011000433;7;0;2;2;19;B01
2011000433;7;0;2;1;23;A03
2011000433;7;0;2;1;1;C02
2011000434;15;0;0;0;1;A01
2011000435;7;2;0;2;14;A01
2011000436;30;14;0;3;2;A01
2011000437;10;0;1;1;1;A01
2011000438;7;0;2;5;19;A01
2011000438;7;0;2;1;1;B02
2011000439;31;0;0;0;0;A01
2011000440;7;0;2;8;1;A01
2011000440;15;0;2;1;9;B02
2011000441;7;16;0;9;14;A01
2011000442;10;0;9;8;15;B02
2011000442;31;0;2;1;17;A01
2011000443;7;0;2;1;1;A01
2011000443;35;0;2;8;19;B02
2011000444;7;2;0;8;21;A01
2011000445;7;0;1;3;1;A01
2011000446;1;0;2;1;1;A01
2011000446;7;0;2;3;19;B02
2011000447;35;12;0;3;1;A01
2011000448;7;0;2;1;1;A01
2011000448;7;0;2;8;19;B02
2011000449;30;13;0;1;0;A01
2011000450;7;0;0;3;23;C03
2011000450;7;1;1;2;1;A01
2011000450;10;0;0;8;23;B02
2011000451;10;0;0;1;1;A01
2011000451;7;0;0;6;0;B02
2011000452;7;0;2;1;21;A01
2011000452;2;0;2;1;1;B02
2011000452;7;0;0;0;15;C03
2011000453;10;0;0;4;15;B02
2011000453;33;0;0;1;1;A01
2011000454;7;0;6;9;1;A01
2011000455;7;8;0;8;1;A01
2011000456;7;13;0;1;19;A01
2011000457;7;0;2;1;1;B02
2011000457;10;0;2;8;19;A01
2011000458;33;0;6;2;0;A01
2011000459;7;0;0;9;1;A01
2011000460;7;0;1;3;1;A01
2011000461;7;1;0;1;1;A01
2011000461;14;0;0;4;0;B02
2011000462;7;0;2;3;1;A01
2011000462;7;0;2;3;1;B02
2011000463;7;0;2;2;1;B01
2011000463;7;0;2;3;16;A02
2011000464;7;2;0;2;1;A01
2011000465;10;0;1;5;1;A01
2011000466;7;13;0;2;1;A01
2011000467;31;0;0;8;1;A01
2011000468;33;0;2;1;1;A01
2011000468;7;0;2;7;19;B02
2011000469;33;0;0;0;13;A01
2011000470;2;1;0;1;0;A01
2011000471;30;11;0;7;21;A01
2011000472;7;0;2;7;13;A01
2011000472;7;0;2;1;1;B02
2011000473;30;0;1;1;2;A01
2011000474;33;0;9;2;1;A01
2011000474;1;0;0;3;15;B02
2011000475;7;2;0;7;1;A01
2011000476;7;2;0;8;14;A01
2011000477;7;0;2;2;0;B02
2011000477;31;0;2;7;1;A01
2011000478;7;2;0;1;14;A01
2011000479;99;2;0;1;1;A01
2011000480;7;0;2;8;1;A01
2011000480;7;0;2;1;1;B02
2011000481;7;0;1;8;1;A01
2011000481;7;0;1;1;1;B02
2011000482;7;0;0;1;0;A01
2011000483;7;0;5;1;1;A01
2011000484;7;2;0;2;0;A01
2011000485;7;13;0;9;13;A01
2011000486;7;2;0;2;1;A01
2011000487;7;0;1;1;1;A01
2011000488;7;0;2;3;13;A01
2011000488;7;0;2;3;1;B02
2011000489;7;0;1;3;15;A01
2011000490;14;0;2;0;1;B02
2011000490;7;0;2;3;1;A01
2011000491;33;0;0;0;1;A01
2011000492;7;6;0;6;1;A01
